package,old,new,delta
BMisc,1.4.6,1.4.7,*
caret,NA,7.0-1,*
cli,3.6.3,3.6.3,
clock,NA,0.7.1,*
colorspace,NA,2.1-1,*
cpp11,NA,0.5.1,*
data.table,1.16.4,1.16.4,
diagram,NA,1.6.5,*
digest,NA,0.6.37,*
dplyr,1.1.4,1.1.4,
e1071,NA,1.7-16,*
fansi,1.0.6,1.0.6,
farver,NA,2.1.2,*
foreach,NA,1.5.2,*
future,NA,1.34.0,*
future.apply,NA,1.11.3,*
generics,0.1.3,0.1.3,
ggplot2,NA,3.5.1,*
globals,NA,0.16.3,*
glue,1.8.0,1.8.0,
gower,NA,1.0.2,*
gtable,NA,0.3.6,*
hardhat,NA,1.4.0,*
ipred,NA,0.9-15,*
isoband,NA,0.2.7,*
iterators,NA,1.0.14,*
labeling,NA,0.4.3,*
lava,NA,1.8.0,*
lifecycle,1.0.4,1.0.4,
listenv,NA,0.9.1,*
lubridate,NA,1.9.4,*
magrittr,2.0.3,2.0.3,
ModelMetrics,NA,1.2.2.2,*
munsell,NA,0.5.1,*
numDeriv,NA,2016.8-1.1,*
parallelly,NA,1.41.0,*
pillar,1.10.1,1.10.1,
pkgconfig,2.0.3,2.0.3,
plyr,NA,1.8.9,*
pROC,NA,1.18.5,*
prodlim,NA,2024.06.25,*
progressr,NA,0.15.1,*
proxy,NA,0.4-27,*
purrr,NA,1.0.2,*
R6,2.5.1,2.5.1,
RColorBrewer,NA,1.1-3,*
Rcpp,1.0.13-1,1.0.13-1,
RcppArmadillo,14.2.2-1,14.2.2-1,
recipes,NA,1.1.0,*
reshape2,NA,1.4.4,*
rlang,1.1.4,1.1.4,
scales,NA,1.3.0,*
shape,NA,1.4.6.1,*
SQUAREM,NA,2021.1,*
stringi,NA,1.8.4,*
stringr,NA,1.5.1,*
tibble,3.2.1,3.2.1,
tidyr,NA,1.3.1,*
tidyselect,1.2.1,1.2.1,
timechange,NA,0.3.0,*
timeDate,NA,4041.110,*
tzdb,NA,0.4.0,*
utf8,1.2.4,1.2.4,
vctrs,0.6.5,0.6.5,
viridisLite,NA,0.4.2,*
withr,3.0.2,3.0.2,
